Chromosome	Range	SNPs	SNP_density	Missing	percent_missing	Missing_density	gene_density
1_52	1000000	108	0.000108	0	0	0	0.807433
1_53	1000000	282	0.000282	1	0.00354609929078014	1e-06	0.60845
1_54	1000000	250	0.00025	1	0.004	1e-06	0.693669
1_55	1000000	383	0.000383	4	0.010443864229765	4e-06	0.491194
1_56	1000000	207	0.000207	0	0	0	0.07
1_57	1000000	277	0.000277	1	0.0036101083032491	1e-06	0.853477
1_58	1000000	258	0.000258	0	0	0	0.769821
1_59	1000000	190	0.00019	1	0.00526315789473684	1e-06	0.431531
1_60	1000000	202	0.000202	2	0.0099009900990099	2e-06	0.407318
1_61	1000000	212	0.000212	0	0	0	0.40241
1_62	1000000	235	0.000235	2	0.00851063829787234	2e-06	0.663561
1_63	1000000	212	0.000212	0	0	0	0.585766
1_64	1000000	214	0.000214	1	0.00467289719626168	1e-06	0.616889
1_65	1000000	201	0.000201	1	0.00497512437810945	1e-06	0.733965
1_66	1000000	271	0.000271	0	0	0	0.685422
1_67	1000000	234	0.000234	1	0.00427350427350427	1e-06	0.714424
1_68	1000000	389	0.000389	0	0	0	0.599067
1_69	1000000	130	0.00013	0	0	0	0
1_70	1000000	150	0.00015	0	0	0	0.611624
1_71	1000000	243	0.000243	0	0	0	0.517321
1_72	1000000	117	0.000117	0	0	0	0.748704
1_73	1000000	73	7.3e-05	0	0	0	0.001706
1_74	1000000	157	0.000157	1	0.00636942675159236	1e-06	0.508278
1_75	1000000	184	0.000184	0	0	0	0.542221
1_76	1000000	277	0.000277	1	0.0036101083032491	1e-06	0.71528
1_77	1000000	232	0.000232	1	0.00431034482758621	1e-06	0.677298
1_78	1000000	127	0.000127	0	0	0	0.690955
1_79	1000000	187	0.000187	1	0.0053475935828877	1e-06	0.168182
1_80	1000000	161	0.000161	1	0.0062111801242236	1e-06	0.004397
1_81	1000000	240	0.00024	1	0.00416666666666667	1e-06	0.00699
1_82	1000000	175	0.000175	1	0.00571428571428571	1e-06	0.195914
1_83	1000000	149	0.000149	0	0	0	0
1_84	1000000	174	0.000174	0	0	0	0.448634
1_85	1000000	273	0.000273	0	0	0	0.628696
1_86	1000000	207	0.000207	1	0.00483091787439614	1e-06	0.647638
1_87	1000000	164	0.000164	1	0.00609756097560976	1e-06	0.424375
1_88	1000000	184	0.000184	0	0	0	0
1_89	1000000	178	0.000178	1	0.00561797752808989	1e-06	0.478176
1_90	1000000	181	0.000181	0	0	0	0.308455
1_91	1000000	154	0.000154	4	0.025974025974026	4e-06	0.356762
1_92	1000000	196	0.000196	3	0.0153061224489796	3e-06	0.630326
1_93	1000000	126	0.000126	6	0.0476190476190476	6e-06	0.71587
1_94	1000000	648	0.000648	5	0.00771604938271605	5e-06	0.729464
1_95	1000000	234	0.000234	0	0	0	0.386651
1_96	1000000	163	0.000163	0	0	0	0.033297
1_97	1000000	242	0.000242	1	0.00413223140495868	1e-06	0.551347
1_98	1000000	184	0.000184	2	0.0108695652173913	2e-06	0.510944
1_99	1000000	178	0.000178	0	0	0	0.402722
1_100	1000000	189	0.000189	0	0	0	0.635196
1_101	1000000	210	0.00021	3	0.0142857142857143	3e-06	0.255955
1_102	1000000	191	0.000191	0	0	0	0.195697
1_103	1000000	130	0.00013	0	0	0	0.23203
1_104	1000000	120	0.00012	1	0.00833333333333333	1e-06	0.100801
1_105	1000000	154	0.000154	3	0.0194805194805195	3e-06	0.000828
1_106	1000000	155	0.000155	1	0.00645161290322581	1e-06	0.00471
1_107	1000000	152	0.000152	0	0	0	0.320711
1_108	1000000	229	0.000229	2	0.00873362445414847	2e-06	0.663605
1_109	1000000	175	0.000175	1	0.00571428571428571	1e-06	0.715622
1_110	1000000	288	0.000288	16	0.0555555555555556	1.6e-05	0.438672
1_111	1000000	270	0.00027	1	0.0037037037037037	1e-06	0.290587
1_112	1000000	300	0.0003	1	0.00333333333333333	1e-06	0.521485
1_113	1000000	142	0.000142	0	0	0	0.529551
1_114	1000000	206	0.000206	1	0.00485436893203883	1e-06	0.625092
1_115	1000000	201	0.000201	1	0.00497512437810945	1e-06	0.513325
1_116	1000000	182	0.000182	1	0.00549450549450549	1e-06	0.295341
1_117	1000000	202	0.000202	1	0.00495049504950495	1e-06	0.512366
1_118	1000000	160	0.00016	0	0	0	0.426467
1_119	1000000	170	0.00017	1	0.00588235294117647	1e-06	0.261056
1_120	1000000	113	0.000113	2	0.0176991150442478	2e-06	0.359019
1_121	1000000	15	1.5e-05	0	0	0	0.099893
1_122	0	0	0	0	0	0	0
1_123	0	0	0	0	0	0	0
1_124	0	0	0	0	0	0	0
1_125	0	0	0	0	0	0	0
1_126	0	0	0	0	0	0	0
1_127	0	0	0	0	0	0	0
1_128	0	0	0	0	0	0	0
1_129	0	0	0	0	0	0	0
1_130	0	0	0	0	0	0	0
1_131	0	0	0	0	0	0	0
1_132	0	0	0	0	0	0	0
1_133	0	0	0	0	0	0	0
1_134	0	0	0	0	0	0	0
1_135	0	0	0	0	0	0	0
1_136	0	0	0	0	0	0	0
1_137	0	0	0	0	0	0	0
1_138	0	0	0	0	0	0	0
1_139	0	0	0	0	0	0	0
1_140	0	0	0	0	0	0	0
1_141	0	0	0	0	0	0	0
1_142	1000000	2	2e-06	0	0	0	0.026068
1_143	1000000	6	6e-06	0	0	0	0.169691
1_144	1000000	20	2e-05	2	0.1	2e-06	0.446783
1_145	1000000	79	7.9e-05	0	0	0	0.64298
1_146	1000000	102	0.000102	0	0	0	0.558803
1_147	1000000	119	0.000119	1	0.00840336134453781	1e-06	0.329447
1_148	1000000	4	4e-06	0	0	0	0.220669
1_149	1000000	34	3.4e-05	0	0	0	0.360442
1_150	1000000	163	0.000163	0	0	0	0.651868
1_151	1000000	150	0.00015	0	0	0	0.640728
1_152	1000000	229	0.000229	6	0.0262008733624454	6e-06	0.154636
1_153	1000000	184	0.000184	1	0.00543478260869565	1e-06	0.414132
1_154	1000000	278	0.000278	3	0.0107913669064748	3e-06	0.72504
1_155	1000000	259	0.000259	6	0.0231660231660232	6e-06	0.765187
1_156	1000000	451	0.000451	14	0.0310421286031042	1.4e-05	0.7143
1_157	1000000	236	0.000236	1	0.00423728813559322	1e-06	0.303723
1_158	1000000	250	0.00025	0	0	0	0.293997
1_159	1000000	273	0.000273	1	0.00366300366300366	1e-06	0.244544
1_160	1000000	245	0.000245	4	0.0163265306122449	4e-06	0.583636
1_161	1000000	267	0.000267	3	0.0112359550561798	3e-06	0.575912
1_162	1000000	306	0.000306	2	0.0065359477124183	2e-06	0.584269
1_163	1000000	241	0.000241	4	0.016597510373444	4e-06	0.222204
1_164	1000000	243	0.000243	1	0.00411522633744856	1e-06	0.294335
1_165	1000000	324	0.000324	2	0.00617283950617284	2e-06	0.515235
1_166	1000000	198	0.000198	1	0.00505050505050505	1e-06	0.349254
1_167	1000000	299	0.000299	3	0.0100334448160535	3e-06	0.761991
1_168	1000000	210	0.00021	1	0.00476190476190476	1e-06	0.2581
1_169	1000000	338	0.000338	6	0.0177514792899408	6e-06	0.705481
1_170	1000000	161	0.000161	0	0	0	0.273492
1_171	1000000	314	0.000314	3	0.00955414012738853	3e-06	0.569302
1_172	1000000	144	0.000144	1	0.00694444444444444	1e-06	0.521431
1_173	1000000	291	0.000291	0	0	0	0.681726
1_174	1000000	63	6.3e-05	0	0	0	0.859324
1_175	1000000	203	0.000203	1	0.00492610837438424	1e-06	0.624701
1_176	1000000	128	0.000128	2	0.015625	2e-06	0.729379
1_177	1000000	208	0.000208	1	0.00480769230769231	1e-06	0.494752
1_178	1000000	150	0.00015	1	0.00666666666666667	1e-06	0.612321
1_179	1000000	212	0.000212	0	0	0	0.805515
1_180	1000000	179	0.000179	1	0.00558659217877095	1e-06	0.740449
1_181	1000000	192	0.000192	1	0.00520833333333333	1e-06	0.356308
1_182	1000000	179	0.000179	1	0.00558659217877095	1e-06	0.343583
1_183	1000000	192	0.000192	0	0	0	0.869614
1_184	1000000	151	0.000151	2	0.0132450331125828	2e-06	0.519339
1_185	1000000	105	0.000105	0	0	0	0.559341
1_186	1000000	157	0.000157	0	0	0	0.471564
1_187	1000000	188	0.000188	0	0	0	0.007067
1_188	1000000	135	0.000135	0	0	0	0.002539
1_189	1000000	145	0.000145	1	0.00689655172413793	1e-06	0.004407
1_190	1000000	160	0.00016	0	0	0	0.556732
1_191	1000000	122	0.000122	1	0.00819672131147541	1e-06	0.009193
1_192	1000000	149	0.000149	1	0.00671140939597315	1e-06	0.131168
1_193	1000000	143	0.000143	0	0	0	0.20387
1_194	1000000	157	0.000157	1	0.00636942675159236	1e-06	0.002084
1_195	1000000	180	0.00018	2	0.0111111111111111	2e-06	0
1_196	1000000	210	0.00021	2	0.00952380952380952	2e-06	0.623003
1_197	1000000	272	0.000272	1	0.00367647058823529	1e-06	0.707699
1_198	1000000	144	0.000144	0	0	0	0.431957
1_199	1000000	153	0.000153	1	0.0065359477124183	1e-06	0.011887
1_200	1000000	215	0.000215	0	0	0	0.483707
1_201	1000000	384	0.000384	3	0.0078125	3e-06	0.598866
1_202	1000000	199	0.000199	1	0.0050251256281407	1e-06	0.744965
1_203	1000000	274	0.000274	5	0.0182481751824818	5e-06	0.375218
1_204	1000000	260	0.00026	0	0	0	0.641061
1_205	1000000	227	0.000227	1	0.00440528634361234	1e-06	0.545402
1_206	1000000	157	0.000157	1	0.00636942675159236	1e-06	0.438196
1_207	1000000	192	0.000192	1	0.00520833333333333	1e-06	0.545759
1_208	1000000	259	0.000259	2	0.00772200772200772	2e-06	0.247227
1_209	1000000	274	0.000274	3	0.0109489051094891	3e-06	0.184293
1_210	1000000	217	0.000217	1	0.00460829493087558	1e-06	0.766507
1_211	1000000	173	0.000173	0	0	0	0.585484
1_212	1000000	198	0.000198	1	0.00505050505050505	1e-06	0.476553
1_213	1000000	176	0.000176	0	0	0	0.347606
1_214	1000000	231	0.000231	2	0.00865800865800866	2e-06	0.375764
1_215	1000000	172	0.000172	0	0	0	0.492844
1_216	1000000	280	0.00028	1	0.00357142857142857	1e-06	0.920151
1_217	1000000	249	0.000249	2	0.00803212851405622	2e-06	0.706979
1_218	1000000	199	0.000199	0	0	0	0.221796
1_219	1000000	199	0.000199	0	0	0	0.194849
1_220	1000000	167	0.000167	1	0.00598802395209581	1e-06	0.515296
1_221	1000000	150	0.00015	0	0	0	0.053997
1_222	1000000	152	0.000152	0	0	0	0.209647
1_223	1000000	179	0.000179	0	0	0	0.603993
1_224	1000000	145	0.000145	1	0.00689655172413793	1e-06	0.416447
1_225	1000000	165	0.000165	0	0	0	0.678462
1_226	1000000	201	0.000201	3	0.0149253731343284	3e-06	0.451728
1_227	1000000	189	0.000189	2	0.0105820105820106	2e-06	0.571693
1_228	1000000	157	0.000157	3	0.0191082802547771	3e-06	0.501245
1_229	1000000	197	0.000197	1	0.0050761421319797	1e-06	0.237545
1_230	1000000	318	0.000318	2	0.00628930817610063	2e-06	0.465063
1_231	1000000	191	0.000191	2	0.0104712041884817	2e-06	0.654102
1_232	1000000	296	0.000296	0	0	0	0.300006
1_233	1000000	257	0.000257	4	0.0155642023346304	4e-06	0.455318
1_234	1000000	351	0.000351	0	0	0	0.543209
1_235	1000000	162	0.000162	0	0	0	0.648545
1_236	1000000	303	0.000303	0	0	0	0.551811
1_237	1000000	422	0.000422	2	0.004739336492891	2e-06	0.8597
1_238	1000000	237	0.000237	1	0.00421940928270042	1e-06	0.080732
1_239	1000000	213	0.000213	0	0	0	0.36725
1_240	1000000	344	0.000344	2	0.00581395348837209	2e-06	0.654668
1_241	1000000	366	0.000366	1	0.00273224043715847	1e-06	0.80175
1_242	1000000	271	0.000271	2	0.00738007380073801	2e-06	0.490251
1_243	1000000	94	9.4e-05	2	0.0212765957446809	2e-06	0.762944
1_244	1000000	259	0.000259	0	0	0	0.475228
1_245	1000000	312	0.000312	0	0	0	0.81533
1_246	1000000	200	0.0002	0	0	0	0.865657
1_247	1000000	296	0.000296	2	0.00675675675675676	2e-06	0.405909
1_248	1000000	118	0.000118	9	0.076271186440678	9e-06	0.224675
1_249	250621	36	0.000143643190315257	0	0	0	0.20533794055566
2_0	1000000	208	0.000208	1	0.00480769230769231	1e-06	0.2258
2_1	1000000	218	0.000218	0	0	0	0.820401
2_2	1000000	292	0.000292	2	0.00684931506849315	2e-06	0.335045
2_3	1000000	245	0.000245	1	0.00408163265306122	1e-06	0.573254
2_4	1000000	237	0.000237	0	0	0	0.062017
2_5	1000000	217	0.000217	1	0.00460829493087558	1e-06	0.008719
2_6	1000000	250	0.00025	3	0.012	3e-06	0.116504
2_7	1000000	262	0.000262	2	0.00763358778625954	2e-06	0.214168
2_8	1000000	232	0.000232	0	0	0	0.499258
2_9	1000000	189	0.000189	1	0.00529100529100529	1e-06	0.569025
2_10	1000000	287	0.000287	3	0.0104529616724739	3e-06	0.581657
2_11	1000000	244	0.000244	1	0.00409836065573771	1e-06	0.556671
2_12	1000000	265	0.000265	2	0.00754716981132075	2e-06	0.05197
2_13	1000000	176	0.000176	2	0.0113636363636364	2e-06	0.040838
2_14	1000000	165	0.000165	0	0	0	0.007361
2_15	1000000	218	0.000218	1	0.00458715596330275	1e-06	0.433932
2_16	1000000	220	0.00022	2	0.00909090909090909	2e-06	0.123989
2_17	1000000	160	0.00016	0	0	0	0.247831
2_18	1000000	236	0.000236	1	0.00423728813559322	1e-06	0.089139
2_19	1000000	227	0.000227	0	0	0	0.007204
2_20	1000000	257	0.000257	4	0.0155642023346304	4e-06	0.416802
2_21	1000000	255	0.000255	2	0.00784313725490196	2e-06	0.097504
2_22	1000000	123	0.000123	0	0	0	0.000515
2_23	1000000	250	0.00025	2	0.008	2e-06	0.351653
2_24	1000000	112	0.000112	1	0.00892857142857143	1e-06	0.687704
2_25	1000000	163	0.000163	1	0.00613496932515337	1e-06	0.79437
2_26	1000000	177	0.000177	0	0	0	0.756332
2_27	1000000	132	0.000132	1	0.00757575757575758	1e-06	0.647389
2_28	1000000	189	0.000189	1	0.00529100529100529	1e-06	0.790677
2_29	1000000	312	0.000312	2	0.00641025641025641	2e-06	0.875068
2_30	1000000	263	0.000263	0	0	0	0.437963
2_31	1000000	301	0.000301	0	0	0	0.475588
2_32	1000000	104	0.000104	1	0.00961538461538462	1e-06	0.791596
2_33	1000000	298	0.000298	0	0	0	0.767
2_34	1000000	220	0.00022	0	0	0	0.001221
2_35	1000000	190	0.00019	0	0	0	0.000705
2_36	1000000	310	0.00031	0	0	0	0.318977
2_37	1000000	198	0.000198	0	0	0	0.538076
2_38	1000000	305	0.000305	2	0.00655737704918033	2e-06	0.407696
2_39	1000000	142	0.000142	0	0	0	0.77591
2_40	1000000	302	0.000302	2	0.00662251655629139	2e-06	0.601218
2_41	1000000	165	0.000165	0	0	0	0.034252
2_42	1000000	190	0.00019	1	0.00526315789473684	1e-06	0.422973
2_43	1000000	216	0.000216	0	0	0	0.530759
2_44	1000000	273	0.000273	1	0.00366300366300366	1e-06	0.800891
2_45	1000000	315	0.000315	1	0.00317460317460317	1e-06	0.452913
2_46	1000000	355	0.000355	1	0.0028169014084507	1e-06	0.672494
2_47	1000000	753	0.000753	7	0.00929614873837981	7e-06	0.445297
2_48	1000000	399	0.000399	7	0.0175438596491228	7e-06	0.507188
2_49	1000000	265	0.000265	1	0.00377358490566038	1e-06	0.197646
2_50	1000000	238	0.000238	1	0.00420168067226891	1e-06	0.855181
2_51	1000000	226	0.000226	1	0.00442477876106195	1e-06	0.261013
2_52	1000000	243	0.000243	1	0.00411522633744856	1e-06	0.025053
2_53	1000000	255	0.000255	1	0.00392156862745098	1e-06	0.102884
2_54	1000000	171	0.000171	0	0	0	0.678411
2_55	1000000	216	0.000216	2	0.00925925925925926	2e-06	0.663135
2_56	1000000	208	0.000208	2	0.00961538461538462	2e-06	0.271145
2_57	1000000	172	0.000172	0	0	0	0.002085
2_58	1000000	135	0.000135	0	0	0	0.449974
2_59	1000000	201	0.000201	0	0	0	0.290901
2_60	1000000	206	0.000206	3	0.0145631067961165	3e-06	0.126289
2_61	1000000	135	0.000135	0	0	0	0.668325
2_62	1000000	131	0.000131	2	0.0152671755725191	2e-06	0.427622
2_63	1000000	78	7.8e-05	0	0	0	0.776221
2_64	1000000	155	0.000155	0	0	0	0.357855
2_65	1000000	236	0.000236	1	0.00423728813559322	1e-06	0.310365
2_66	1000000	216	0.000216	1	0.00462962962962963	1e-06	0.151914
2_67	1000000	253	0.000253	0	0	0	0.17483
2_68	1000000	200	0.0002	1	0.005	1e-06	0.412925
2_69	1000000	200	0.0002	0	0	0	0.645336
2_70	1000000	178	0.000178	0	0	0	0.622418
2_71	1000000	258	0.000258	3	0.0116279069767442	3e-06	0.56569
2_72	1000000	126	0.000126	0	0	0	0.612412
2_73	1000000	138	0.000138	0	0	0	0.596027
2_74	1000000	196	0.000196	0	0	0	0.671051
2_75	1000000	286	0.000286	4	0.013986013986014	4e-06	0.366558
2_76	1000000	234	0.000234	2	0.00854700854700855	2e-06	0.02864
2_77	1000000	203	0.000203	0	0	0	0.749573
2_78	1000000	142	0.000142	1	0.00704225352112676	1e-06	0.001829
2_79	1000000	331	0.000331	0	0	0	0.274398
2_80	1000000	295	0.000295	1	0.00338983050847458	1e-06	0.875993
2_81	1000000	104	0.000104	0	0	0	0.01325
2_82	1000000	100	0.0001	0	0	0	0.001376
2_83	1000000	103	0.000103	0	0	0	0.003563
2_84	1000000	110	0.00011	0	0	0	0.297081
2_85	1000000	238	0.000238	0	0	0	0.589035
2_86	1000000	147	0.000147	0	0	0	0.710378
2_87	1000000	49	4.9e-05	8	0.163265306122449	8e-06	0.345537
2_88	1000000	131	0.000131	1	0.00763358778625954	1e-06	0.319549
2_89	1000000	17	1.7e-05	0	0	0	0.67439
2_90	1000000	5	5e-06	0	0	0	0.278435
2_91	1000000	2	2e-06	0	0	0	0.104713
2_92	1000000	5	5e-06	1	0.2	1e-06	0.061867
2_93	0	0	0	0	0	0	0
2_94	0	0	0	0	0	0	0
2_95	1000000	33	3.3e-05	1	0.0303030303030303	1e-06	0.337895
2_96	1000000	61	6.1e-05	0	0	0	0.437892
2_97	1000000	79	7.9e-05	0	0	0	0.602734
2_98	1000000	134	0.000134	1	0.00746268656716418	1e-06	0.676336
2_99	1000000	154	0.000154	2	0.012987012987013	2e-06	0.732706
2_100	1000000	127	0.000127	0	0	0	0.794991
2_101	1000000	202	0.000202	1	0.00495049504950495	1e-06	0.474244
2_102	1000000	269	0.000269	0	0	0	0.460292
2_103	1000000	172	0.000172	0	0	0	0.277494
2_104	1000000	129	0.000129	1	0.00775193798449612	1e-06	0.009086
2_105	1000000	179	0.000179	4	0.0223463687150838	4e-06	0.330674
2_106	1000000	262	0.000262	1	0.00381679389312977	1e-06	0.37558
2_107	1000000	180	0.00018	1	0.00555555555555556	1e-06	0.179581
2_108	1000000	159	0.000159	0	0	0	0.176493
2_109	1000000	177	0.000177	1	0.00564971751412429	1e-06	0.726138
2_110	1000000	70	7e-05	0	0	0	0.469318
2_111	1000000	137	0.000137	2	0.0145985401459854	2e-06	0.67811
2_112	1000000	130	0.00013	4	0.0307692307692308	4e-06	0.527108
2_113	1000000	216	0.000216	1	0.00462962962962963	1e-06	0.441168
2_114	1000000	136	0.000136	2	0.0147058823529412	2e-06	0.355685
2_115	1000000	194	0.000194	0	0	0	0.800894
2_116	1000000	136	0.000136	1	0.00735294117647059	1e-06	0.602326
2_117	1000000	110	0.00011	2	0.0181818181818182	2e-06	0.003487
2_118	1000000	176	0.000176	2	0.0113636363636364	2e-06	0.185652
2_119	1000000	217	0.000217	0	0	0	0.079775
2_120	1000000	130	0.00013	0	0	0	0.702467
2_121	1000000	229	0.000229	0	0	0	0.270754
2_122	1000000	116	0.000116	0	0	0	0.454483
2_123	1000000	201	0.000201	1	0.00497512437810945	1e-06	0
2_124	1000000	170	0.00017	0	0	0	0.220077
2_125	1000000	138	0.000138	1	0.0072463768115942	1e-06	0.672864
2_126	1000000	128	0.000128	3	0.0234375	3e-06	0
2_127	1000000	199	0.000199	3	0.0150753768844221	3e-06	0.136836
2_128	1000000	306	0.000306	2	0.0065359477124183	2e-06	0.633572
2_129	1000000	198	0.000198	0	0	0	0.055343
2_130	1000000	140	0.00014	1	0.00714285714285714	1e-06	0.180645
2_131	1000000	98	9.8e-05	0	0	0	0.490736
2_132	1000000	67	6.7e-05	4	0.0597014925373134	4e-06	0.392523
2_133	1000000	230	0.00023	0	0	0	0.860526
2_134	1000000	263	0.000263	0	0	0	0.326099
2_135	1000000	170	0.00017	4	0.0235294117647059	4e-06	0.806605
2_136	1000000	150	0.00015	2	0.0133333333333333	2e-06	0.697571
2_137	1000000	218	0.000218	2	0.00917431192660551	2e-06	0.253136
2_138	1000000	186	0.000186	0	0	0	0.487414
2_139	1000000	148	0.000148	0	0	0	0.190295
2_140	1000000	189	0.000189	2	0.0105820105820106	2e-06	0.013998
2_141	1000000	243	0.000243	2	0.00823045267489712	2e-06	1
2_142	1000000	260	0.00026	1	0.00384615384615385	1e-06	0.88927
2_143	1000000	163	0.000163	0	0	0	0.283756
2_144	1000000	194	0.000194	3	0.0154639175257732	3e-06	0.822341
2_145	1000000	140	0.00014	3	0.0214285714285714	3e-06	0.741287
2_146	1000000	136	0.000136	0	0	0	0.003725
2_147	1000000	82	8.2e-05	0	0	0	0.005228
2_148	1000000	134	0.000134	2	0.0149253731343284	2e-06	0.406149
2_149	1000000	137	0.000137	0	0	0	0.663986
2_150	1000000	156	0.000156	0	0	0	0.332265
2_151	1000000	196	0.000196	3	0.0153061224489796	3e-06	0.019576
2_152	1000000	197	0.000197	1	0.0050761421319797	1e-06	0.693339
2_153	1000000	159	0.000159	0	0	0	0.458055
2_154	1000000	190	0.00019	1	0.00526315789473684	1e-06	0.276989
2_155	1000000	197	0.000197	0	0	0	0.474249
2_156	1000000	139	0.000139	1	0.00719424460431655	1e-06	0.004006
2_157	1000000	112	0.000112	0	0	0	0.160125
2_158	1000000	176	0.000176	2	0.0113636363636364	2e-06	0.479324
2_159	1000000	203	0.000203	1	0.00492610837438424	1e-06	0.713384
2_160	1000000	218	0.000218	0	0	0	0.794726
2_161	1000000	131	0.000131	2	0.0152671755725191	2e-06	0.28672
2_162	1000000	122	0.000122	1	0.00819672131147541	1e-06	0.668394
2_163	1000000	125	0.000125	0	0	0	0.619298
2_164	1000000	140	0.00014	0	0	0	0.128396
2_165	1000000	185	0.000185	0	0	0	0.399885
2_166	1000000	230	0.00023	1	0.00434782608695652	1e-06	0.729013
2_167	1000000	204	0.000204	3	0.0147058823529412	3e-06	0.524848
2_168	1000000	199	0.000199	0	0	0	0.45433
2_169	1000000	323	0.000323	2	0.00619195046439629	2e-06	0.698018
2_170	1000000	208	0.000208	0	0	0	0.752236
2_171	1000000	258	0.000258	0	0	0	0.741329
2_172	1000000	142	0.000142	2	0.0140845070422535	2e-06	0.622731
2_173	1000000	219	0.000219	0	0	0	0.511093
2_174	1000000	231	0.000231	0	0	0	0.290999
2_175	1000000	134	0.000134	1	0.00746268656716418	1e-06	0.67049
2_176	1000000	167	0.000167	1	0.00598802395209581	1e-06	0.134929
2_177	1000000	216	0.000216	1	0.00462962962962963	1e-06	0.112955
2_178	1000000	177	0.000177	3	0.0169491525423729	3e-06	0.817534
2_179	1000000	227	0.000227	2	0.00881057268722467	2e-06	0.812858
2_180	1000000	252	0.000252	0	0	0	0.612196
2_181	1000000	155	0.000155	0	0	0	0.08431
2_182	1000000	174	0.000174	0	0	0	0.421709
2_183	1000000	168	0.000168	1	0.00595238095238095	1e-06	0.626613
2_184	1000000	144	0.000144	0	0	0	0.027712
2_185	1000000	123	0.000123	0	0	0	0.341192
2_186	1000000	123	0.000123	0	0	0	0.099494
2_187	1000000	98	9.8e-05	0	0	0	0.208832
2_188	1000000	139	0.000139	2	0.0143884892086331	2e-06	0.196545
2_189	1000000	150	0.00015	2	0.0133333333333333	2e-06	0.50355
2_190	1000000	164	0.000164	4	0.024390243902439	4e-06	0.318113
2_191	1000000	169	0.000169	1	0.00591715976331361	1e-06	0.610435
2_192	1000000	202	0.000202	2	0.0099009900990099	2e-06	0.407873
2_193	1000000	85	8.5e-05	0	0	0	0.087984
2_194	1000000	62	6.2e-05	0	0	0	0.003892
